CONFIG,seed=123456789,taps=11
H,tick,birdX,birdY,velY,rotation,rotVel,rotAccel,gravity,hit,idle,score,landX,p1x,p1y,p2x,p2y,p3x,p3y,speed,warmup,rngY,rngZ
START,seed=123456789,rngY=118540483,rngZ=-1911680585
I,0
S,0,80,241,-4.7,-10.0,-9.6,0.4,0.3,false,false,0,-14,77,274,234,274,391,274,2,1,118540483,-1911680585
S,1,80,236,-4.3999996,-19.6,-9.200001,0.4,0.3,false,false,0,-16,75,274,232,274,389,274,2,1,118540483,-1911680585
S,2,80,231,-4.0999994,-20.0,-8.800001,0.4,0.3,false,false,0,-18,73,274,230,274,387,274,2,1,118540483,-1911680585
S,3,80,227,-3.7999995,-20.0,-8.400002,0.4,0.3,false,false,0,-20,71,274,228,274,385,274,2,1,118540483,-1911680585
S,4,80,223,-3.4999995,-20.0,-8.000002,0.4,0.3,false,false,0,-22,69,274,226,274,383,274,2,1,118540483,-1911680585
S,5,80,219,-3.1999996,-20.0,-7.600002,0.4,0.3,false,false,0,0,67,274,224,274,381,274,2,1,118540483,-1911680585
S,6,80,216,-2.8999996,-20.0,-7.2000017,0.4,0.3,false,false,0,-2,65,274,222,274,379,274,2,1,118540483,-1911680585
S,7,80,213,-2.5999997,-20.0,-6.8000016,0.4,0.3,false,false,0,-4,63,274,220,274,377,274,2,1,118540483,-1911680585
S,8,80,210,-2.2999997,-20.0,-6.4000015,0.4,0.3,false,false,0,-6,61,274,218,274,375,274,2,1,118540483,-1911680585
S,9,80,208,-1.9999998,-20.0,-6.0000014,0.4,0.3,false,false,0,-8,59,274,216,274,373,274,2,1,118540483,-1911680585
S,10,80,206,-1.6999998,-20.0,-5.6000013,0.4,0.3,false,false,0,-10,57,274,214,274,371,274,2,1,118540483,-1911680585
S,11,80,204,-1.3999999,-20.0,-5.2000012,0.4,0.3,false,false,0,-12,55,274,212,274,369,274,2,1,118540483,-1911680585
S,12,80,202,-1.0999999,-20.0,-4.800001,0.4,0.3,false,false,0,-14,53,274,210,274,367,274,2,1,118540483,-1911680585
S,13,80,201,-0.7999999,-20.0,-4.400001,0.4,0.3,false,false,0,-16,51,274,208,274,365,274,2,1,118540483,-1911680585
